LSOA11 Code,Public transport accessibility metric
E01000880,0
E01000881,0
E01000882,0
E01000883,0
E01000884,1
E01000885,2
E01000886,0
E01000887,0
E01000888,0
E01000889,0
E01000890,0
E01000891,0
E01000892,0
E01000893,0
E01000894,0
E01000895,0
E01000896,0
E01000897,0
E01000898,0
E01000899,0
E01000900,0
E01000901,0
E01000902,0
E01000903,0
E01000904,0
E01000905,0
E01000906,0
E01000907,0
E01000908,0
E01000909,0
E01000910,0
E01000911,0
E01000912,0
E01000913,0
E01000914,0
E01000915,0
E01000916,0
E01000917,0
E01000918,0
E01000919,0
E01000920,0
E01000921,0
E01000922,0
E01000923,0
E01000924,0
E01000925,0
E01000926,0
E01000927,0
E01000928,0
E01000929,0
E01000930,0
E01000931,0
E01000932,0
E01000933,0
E01000934,0
E01000935,0
E01000936,0
E01000937,0
E01000938,0
E01000939,0
E01000940,0
E01000941,0
E01000942,0
E01000943,0
E01000944,0
E01000945,0
E01000946,0
E01000947,0
E01000948,0
E01000949,0
E01000950,0
E01000951,0
E01000952,0
E01000953,0
E01000954,0
E01000955,0
E01000956,0
E01000957,0
E01000958,0
E01000959,0
E01000960,0
E01000961,0
E01000962,0
E01000963,0
E01000964,0
E01000965,0
E01000966,0
E01000967,0
E01000968,0
E01000969,0
E01000970,0
E01000971,0
E01000972,0
E01000973,0
E01000974,0
E01000975,0
E01000976,0
E01000977,1
E01000978,1
E01000979,1
E01000980,0
E01000981,0
E01000982,0
E01000983,0
E01000984,0
E01000985,0
E01000986,0
E01000987,0
E01000989,3
E01000990,0
E01000991,3
E01000992,0
E01000993,0
E01000994,0
E01000995,0
E01000996,0
E01000997,0
E01000998,0
E01000999,0
E01001000,0
E01001001,0
E01001002,0
E01001003,0
E01001004,0
E01001005,0
E01001006,3
E01001007,1
E01001008,0
E01001009,0
E01001010,0
E01001011,0
E01001012,0
E01001013,1
E01001014,1
E01001015,1
E01001016,2
E01001017,4
E01001018,2
E01001019,1
E01001020,1
E01001021,3
E01001022,4
E01001023,1
E01001024,1
E01001025,3
E01001026,3
E01001027,4
E01001028,1
E01001029,1
E01001030,0
E01001031,1
E01001032,4
E01001033,0
E01001034,1
E01001035,1
E01001036,1
E01001037,0
E01001038,0
E01001039,1
E01001040,1
E01001041,0
E01001042,0
E01001043,0
E01001044,0
E01001045,0
E01001046,1
E01001047,0
E01001048,0
E01001049,1
E01001050,0
E01001051,3
E01001052,4
E01001053,4
E01001054,2
E01001055,5
E01001056,5
E01001057,4
E01001058,3
E01001059,1
E01001060,4
E01001061,1
E01001062,0
E01001063,1
E01001064,2
E01001065,1
E01001066,1
E01001067,5
E01001068,4
E01001069,4
E01001070,5
E01001071,3
E01001072,6
E01001073,2
E01001074,1
E01001075,3
E01001076,3
E01001077,3
E01001078,3
E01001079,3
E01001080,3
E01001081,3
E01001082,3
E01001083,1
E01001084,3
E01001085,0
E01001086,1
E01001087,1
E01001088,1
E01001089,1
E01001090,0
E01001091,1
E01001092,1
E01001093,0
E01001094,3
E01001095,0
E01001096,4
E01001097,0
E01001098,3
E01001099,3
E01001100,2
